Año,Mes,TiendaID,NombreTienda,CategoriaID,NombreCategoria,ValorMeta
2024,1,1,Tienda Bogotá Centro,1,Electrónica,43000000
2024,1,1,Tienda Bogotá Centro,12,Automotriz,34500000
2024,1,1,Tienda Bogotá Centro,2,Electrodomésticos,27000000
2024,1,1,Tienda Bogotá Centro,8,Juguetes y Juegos,20500000
2024,1,2,Tienda Bogotá Norte,1,Electrónica,41500000
2024,1,2,Tienda Bogotá Norte,2,Electrodomésticos,41500000
2024,1,2,Tienda Bogotá Norte,12,Automotriz,33000000
2024,1,2,Tienda Bogotá Norte,3,Ropa y Moda,24000000
2024,1,3,Tienda Medellín Centro,3,Ropa y Moda,39000000
2024,1,3,Tienda Medellín Centro,8,Juguetes y Juegos,30000000
2024,1,3,Tienda Medellín Centro,5,Deportes y Fitness,23000000
2024,1,3,Tienda Medellín Centro,6,Alimentos y Bebidas,17500000
2024,1,4,Tienda Medellín El Poblado,4,Hogar y Decoración,33500000
2024,1,4,Tienda Medellín El Poblado,3,Ropa y Moda,25500000
2024,1,4,Tienda Medellín El Poblado,9,Librería y Papelería,19500000
2024,1,4,Tienda Medellín El Poblado,5,Deportes y Fitness,16000000
2024,1,5,Tienda Cali Norte,5,Deportes y Fitness,30500000
2024,1,5,Tienda Cali Norte,6,Alimentos y Bebidas,22000000
2024,1,5,Tienda Cali Norte,3,Ropa y Moda,19500000
2024,1,5,Tienda Cali Norte,8,Juguetes y Juegos,15000000
2024,1,6,Tienda Barranquilla,6,Alimentos y Bebidas,30500000
2024,1,6,Tienda Barranquilla,8,Juguetes y Juegos,22500000
2024,1,6,Tienda Barranquilla,2,Electrodomésticos,17500000
2024,1,6,Tienda Barranquilla,9,Librería y Papelería,14500000
2024,1,7,Tienda Bucaramanga,7,Belleza y Cuidado,35000000
2024,1,7,Tienda Bucaramanga,11,Ferretería,28000000
2024,1,7,Tienda Bucaramanga,4,Hogar y Decoración,19500000
2024,1,7,Tienda Bucaramanga,2,Electrodomésticos,16000000
2024,1,8,Tienda Cartagena,8,Juguetes y Juegos,29000000
